Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
394,TANLA,Tanla Platforms Limited,703250
395,JYOTHYLAB,Jyothy Labs Limited,699532
396,SPLPETRO,Supreme Petrochem Limited,696317
397,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,692667
398,CRAFTSMAN,Craftsman Automation Limited,687790
399,BIRLACORPN,Birla Corporation Limited,685502
400,BLS,BLS International Services Limited,680729
401,SHYAMMETL,Shyam Metalics and Energy Limited,670480
402,NCC,NCC Limited,666145
403,GMMPFAUDLR,GMM Pfaudler Limited,659073
404,LATENTVIEW,Latent View Analytics Limited,657939
405,USHAMART,Usha Martin Limited,653671
406,HOMEFIRST,Home First Finance Company India Limited,653569
407,JKPAPER,JK Paper Limited,646609
408,TMB,Tamilnad Mercantile Bank Limited,645441
409,JINDWORLD,Jindal Worldwide Limited,643169
410,METROPOLIS,Metropolis Healthcare Limited,639263
411,SAREGAMA,Saregama India Limited,638489
412,NBCC,NBCC (India) Limited,638100
413,ECLERX,eClerx Services Limited,632623
414,BALAMINES,Balaji Amines Limited,629649
415,WELSPUNIND,Welspun India Limited,628899
416,PRAJIND,Praj Industries Limited,626462
417,COCHINSHIP,Cochin Shipyard Limited,625803
418,ZENSARTECH,Zensar Technologies Limited,621067
419,AMBER,Amber Enterprises India Limited,614776
420,LEMONTREE,Lemon Tree Hotels Limited,612010
421,PRINCEPIPE,Prince Pipes And Fittings Limited,599794
422,TRIVENI,Triveni Engineering & Industries Limited,593542
423,GARFIBRES,Garware Technical Fibres Limited,593035
424,LXCHEM,Laxmi Organic Industries Limited,590658
425,STLTECH,Sterlite Technologies Limited,587870
426,CEATLTD,CEAT Limited,586749
427,BSE,BSE Limited,583777
428,SPARC,Sun Pharma Advanced Research Company Limited,581990
429,ALOKINDS,Alok Industries Limited,575968
430,ORIENTELEC,Orient Electric Limited,575159
431,INDIACEM,The India Cements Limited,573465
432,JUBLINGREA,Jubilant Ingrevia Limited,573332
433,KIRLOSENG,Kirloskar Oil Engines Limited,573211
434,TCIEXP,TCI Express Limited,571974
435,JMFINANCIL,JM Financial Limited,569053
436,NETWORK18,Network18 Media & Investments Limited,567970
