Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1626,MAHASTEEL,Mahamaya Steel Industries Limited,8357
1627,SIMBHALS,Simbhaoli Sugars Limited,8235
1628,KALYANIFRG,Kalyani Forge Limited,8109
1629,HINDCON,Hindcon Chemicals Limited,8103
1630,CORDSCABLE,Cords Cable Industries Limited,8099
1631,YAARI,Yaari Digital Integrated Services Limited,8006
1632,SONAMCLOCK,Sonam Clock Limited,7986
1633,MAHICKRA,Mahickra Chemicals Limited,7960
1634,HPIL,Hindprakash Industries Limited,7917
1635,LPDC,Landmark Property Development Company Limited,7914
1636,DBSTOCKBRO,DB (International) Stock Brokers Limited,7893
1637,AUSOMENT,Ausom Enterprise Limited,7765
1638,BALLARPUR,Ballarpur Industries Limited,7761
1639,SPMLINFRA,SPML Infra Limited,7676
1640,BANKA,Banka BioLoo Limited,7560
1641,GOLDENTOBC,Golden Tobacco Limited,7554
1642,GTL,GTL Limited,7550
1643,ENERGYDEV,Energy Development Company Limited,7481
1644,PANACHE,Panache Digilife Limited,7470
1645,PIGL,Power & Instrumentation (Gujarat) Limited,7454
1646,DELTAMAGNT,Delta Manufacturing Limited,7444
1647,SHRADHA,Shradha Infraprojects Limited,7411
1648,PIONEEREMB,Pioneer Embroideries Limited,7390
1649,GLOBALVECT,Global Vectra Helicorp Limited,7378
1650,BAGFILMS,B.A.G Films and Media Limited,7317
1651,WIPL,The Western India Plywoods Limited,7269
1652,NITIRAJ,Nitiraj Engineers Limited,7263
1653,BEARDSELL,Beardsell Limited,7250
1654,KRITIKA,Kritika Wires Limited,7234
1655,PATINTLOG,Patel Integrated Logistics Limited,7104
1656,SETCO,Setco Automotive Limited,7090
1657,PRAENG,Prajay Engineers Syndicate Limited,7064
1658,ELECTHERM,Electrotherm (India) Limited,7034
1659,PRAKASHSTL,Prakash Steelage Limited,6913
1660,CINEVISTA,Cinevista Limited,6892
1661,SUULD,Suumaya Industries Limited,6890
1662,FLEXITUFF,Flexituff Ventures International Limited,6818
1664,HISARMETAL,Hisar Metal Industries Limited,6782
1665,SUVIDHAA,Suvidhaa Infoserve Limited,6742
1666,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,6737
1667,MARSHALL,Marshall Machines Limited,6722
1668,CELEBRITY,Celebrity Fashions Limited,6692
1669,DHRUV,Dhruv Consultancy Services Limited,6620
1670,CENTEXT,Century Extrusions Limited,6600
1671,BHANDARI,Bhandari Hosiery Exports Limited,6374
1672,TREJHARA,TREJHARA SOLUTIONS LIMITED,6369
1673,FELIX,Felix Industries Limited,6364
1674,NGIL,Nakoda Group of Industries Limited,6361
1675,SUPREMEINF,Supreme Infrastructure India Limited,6360
1676,AGROPHOS,Agro Phos India Limited,6356
1677,MCL,Madhav Copper Limited,6243
1678,OILCOUNTUB,Oil Country Tubular Limited,6201
1679,MORARJEE,Morarjee Textiles Limited,6122
1680,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,6092
1681,AAKASH,Aakash Exploration Services Limited,6024
1682,VASWANI,Vaswani Industries Limited,6000
1683,KANANIIND,Kanani Industries Limited,5936
1684,ARCHIES,Archies Limited,5928
1685,SHIVAMILLS,Shiva Mills Limited,5907
1686,TREEHOUSE,Tree House Education & Accessories Limited,5839
1687,KEYFINSERV,Keynote Financial Services Limited,5780
1688,AROGRANITE,Aro Granite Industries Limited,5753
1689,SEYAIND,Seya Industries Limited,5739
1690,RSSOFTWARE,R. S. Software (India) Limited,5707
1691,ORIENTLTD,Orient Press Limited,5670
1692,EXCEL,Excel Realty N Infra Limited,5643
1693,RELIABLE,Reliable Data Services Limited,5573
1694,AAATECH,AAA Technologies Limited,5567
1695,AGRITECH,Agri-Tech (India) Limited,5551
1696,SHRENIK,Shrenik Limited,5508
1697,ANKITMETAL,Ankit Metal & Power Limited,5503
1698,JETFREIGHT,Jet Freight Logistics Limited,5476
1699,VARDMNPOLY,Vardhman Polytex Limited,5472
1700,SHREERAMA,Shree Rama Multi-Tech Limited,5427
1701,BVCL,Barak Valley Cements Limited,5341
1702,KKVAPOW,KKV Agro Powers Limited,5334
1703,HOVS,HOV Services Limited,5258
1704,FSC,Future Supply Chain Solutions Limited,5178
1705,ABMINTLLTD,ABM International Limited,5170
1706,SEPOWER,S.E. Power Limited,5157
1707,BANARBEADS,Banaras Beads Limited,5143
1708,REGENCERAM,Regency Ceramics Limited,5130
1709,PODDARHOUS,Poddar Housing and Development Limited,5125
1710,MALUPAPER,Malu Paper Mills Limited,4853
1711,MOKSH,Moksh Ornaments Limited,4776
1712,ZENITHSTL,Zenith Steel Pipes & Industries Limited,4766
1713,SAMBHAAV,Sambhaav Media Limited,4682
1714,BANG,Bang Overseas Limited,4644
1715,PNC,Pritish Nandy Communications Limited,4478
1716,TIMESGTY,Times Guaranty Limited,4411
1717,MANUGRAPH,Manugraph India Limited,4380
1718,ZENITHEXPO,Zenith Exports Limited,4263
1719,AARVEEDEN,Aarvee Denims & Exports Limited,4258
1720,SOMICONVEY,Somi Conveyor Beltings Limited,4241
1721,SGL,STL Global Limited,4143
1722,WEWIN,WE WIN LIMITED,4125
1723,AKASH,Akash Infra-Projects Limited,3996
1724,INDSWFTLTD,Ind-Swift Limited,3981
1725,KARMAENG,Karma Energy Limited,3974
1726,NAGREEKEXP,Nagreeka Exports Limited,3956
1727,BURNPUR,Burnpur Cement Limited,3919
1728,NIBL,NRB Industrial Bearings Limited,3889
1729,CUBEXTUB,Cubex Tubings Limited,3880
1730,VINEETLAB,Vineet Laboratories Limited,3817
1731,TERASOFT,Tera Software Limited,3691
1732,CROWN,Crown Lifters Limited,3690
1733,GLOBE,Globe Textiles (India) Limited,3627
1734,3PLAND,3P Land Holdings Limited,3618
1736,LFIC,Lakshmi Finance & Industrial Corporation Limited,3525
1737,VSCL,Vadivarhe Speciality Chemicals Limited,3522
1738,MADHAV,Madhav Marbles and Granites Limited,3507
1739,UJAAS,Ujaas Energy Limited,3505
1740,SUPERSPIN,Super Spinning Mills Limited,3493
1741,RKDL,Ravi Kumar Distilleries Limited,3492
1742,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,3487
1743,ACEINTEG,Ace Integrated Solutions Limited,3478
1744,KHANDSE,Khandwala Securities Limited,3447
1745,SAGARDEEP,Sagardeep Alloys Limited,3437
1746,ADL,Archidply Decor Limited,3329
1747,HBSL,HB Stockholdings Limited,3280
1748,SANGINITA,Sanginita Chemicals Limited,3272
1749,GANGAFORGE,Ganga Forging Limited,3232
1750,NARMADA,Narmada Agrobase Limited,3109
1751,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,3059
1752,LAXMICOT,Laxmi Cotspin Limited,3052
1753,PEARLPOLY,Pearl Polymers Limited,3039
1754,HECPROJECT,HEC Infra Projects Limited,2945
1755,SANWARIA,Sanwaria Consumer Limited,2944
1756,GISOLUTION,GI Engineering Solutions Limited,2883
1757,PARASPETRO,Paras Petrofils Limited,2841
1758,HEADSUP,Heads UP Ventures Limited,2804
1759,VCL,Vaxtex Cotfab Limited,2778
1760,KEEPLEARN,DSJ Keep Learning Limited,2759
1761,COUNCODOS,Country Condo's Limited,2755
1762,ROLTA,Rolta India Limited,2737
1763,DHARSUGAR,Dharani Sugars & Chemicals Limited,2722
1764,NEXTMEDIA,Next Mediaworks Limited,2676
1765,DNAMEDIA,Diligent Media Corporation Limited,2648
1766,LIBAS,Libas Consumer Products Limited,2634
1767,BALKRISHNA,Balkrishna Paper Mills Limited,2588
1768,MTEDUCARE,MT Educare Limited,2564
1769,GODHA,Godha Cabcon & Insulation Limited,2554
1770,GOENKA,Goenka Diamond and Jewels Limited,2536
1771,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,2533
1772,MADHUCON,Madhucon Projects Limited,2509
1773,ROLLT,Rollatainers Limited,2501
1774,CYBERMEDIA,Cyber Media (India) Limited,2468
1775,TGBHOTELS,TGB Banquets And Hotels Limited,2343
1776,VIVIDHA,Visagar Polytex Limited,2342
1777,FMNL,Future Market Networks Limited,2302
1778,SUMEETINDS,Sumeet Industries Limited,2280
1779,ICDSLTD,ICDS Limited,2280
1780,MPTODAY,Madhya Pradesh Today Media Limited,2220
1781,21STCENMGM,21st Century Management Services Limited,2184
1782,HYBRIDFIN,Hybrid Financial Services Limited,2178
1783,TFL,Transwarranty Finance Limited,2177
1784,IMPEXFERRO,Impex Ferro Tech Limited,2154
1785,INFOMEDIA,Infomedia Press Limited,2133
1786,NKIND,NK Industries Limited,2121
1787,SHANTI,Shanti Overseas (India) Limited,2060
1788,FEL,Future Enterprises Limited,2047
1789,THOMASCOTT,Thomas Scott (India) Limited,2035
1790,KHAITANLTD,Khaitan (India) Limited,2024
1791,WILLAMAGOR,Williamson Magor & Company Limited,1972
1792,LCCINFOTEC,LCC Infotech Limited,1962
1793,UNIINFO,Uniinfo Telecom Services Limited,1962
1794,ASMS,Bartronics India Limited,1949
1795,GAYAHWS,Gayatri Highways Limited,1797
1796,CALSOFT,California Software Company Limited,1785
1797,ORIENTALTL,Oriental Trimex Limited,1764
1798,ONELIFECAP,Onelife Capital Advisors Limited,1764
1799,VIJIFIN,Viji Finance Limited,1733
1800,DIGJAMLMTD,Digjam Limited,1664
1801,KRIDHANINF,Kridhan Infra Limited,1659
1802,SILLYMONKS,Silly Monks Entertainment Limited,1634
1803,TANTIACONS,Tantia Constructions Limited,1628
1804,SUPREMEENG,Supreme Engineering Limited,1625
1805,SILGO,Silgo Retail Limited,1597
1806,MOHITIND,Mohit Industries Limited,1593
1807,EDUCOMP,Educomp Solutions Limited,1592
1808,EASTSILK,Eastern Silk Industries Limited,1540
1809,CMICABLES,CMI Limited,1499
1810,MITTAL,Mittal Life Style Limited,1441
1811,ORTINLAB,Ortin Laboratories Limited,1427
1812,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,1368
1813,GUJRAFFIA,Gujarat Raffia Industries Limited,1351
1814,MASKINVEST,Mask Investments Limited,1335
1815,CONTI,Continental Seeds and Chemicals Limited,1275
1816,EUROTEXIND,Eurotex Industries and Exports Limited,1216
1817,TIJARIA,Tijaria Polypipes Limited,1202
1818,TNTELE,Tamilnadu Telecommunication Limited,1201
1819,SETUINFRA,Setubandhan Infrastructure Limited,1131
1820,LYPSAGEMS,Lypsa Gems & Jewellery Limited,1091
1821,METALFORGE,Metalyst Forgings Limited,1089
1822,SSINFRA,S.S. Infrastructure Development Consultants Limited,1084
1823,RMCL,Radha Madhav Corporation Limited,1036
1824,JALAN,Jalan Transolutions (India) Limited,1025
1825,SANCO,Sanco Industries Limited,994
1826,KAVVERITEL,Kavveri Telecom Products Limited,946
1827,TECHIN,Techindia Nirman Limited,946
1828,NORBTEAEXP,Norben Tea & Exports Limited,940
1829,SPENTEX,Spentex Industries Limited,898
1830,CREATIVEYE,Creative Eye Limited,873
1831,ANTGRAPHIC,Antarctica Limited,853
1832,TVVISION,TV Vision Limited,845
1833,ARENTERP,Rajdarshan Industries Limited,836
1834,UMESLTD,Usha Martin Education & Solutions Limited,832
1835,SHYAMTEL,Shyam Telecom Limited,811
1836,GLFL,Gujarat Lease Financing Limited,678
1837,CMMIPL,CMM Infraprojects Limited,674
1838,DCMFINSERV,DCM Financial Services Limited,667
1839,PREMIER,Premier Limited,592
1840,SABTN,Sri Adhikari Brothers Television Network Limited,577
1841,TARAPUR,Tarapur Transformers Limited,546
1842,BKMINDST,Bkm Industries Limited,524
1843,ALPSINDUS,Alps Industries Limited,508
1844,INNOVATIVE,Innovative Tyres and Tubes Limited,423
1845,LAKPRE,Lakshmi Precision Screws Limited,394
1846,MELSTAR,Melstar Information Technologies Limited,336
1847,SABEVENTS,Sab Events & Governance Now Media Limited,320
1848,INDLMETER,IMP Powers Limited,259
1850,COMPLETED,FDFF,0
